,SMILES,Value
193,C[N+](C)(C)CC1COCC(c2ccccc2)(C2CCCCC2)O1,0.0005248070000000001
194,COc1ccc([S+]([O-])c2ccc(C(C)C3CCN(C4CCCCC4)CC3)cc2)cc1,0.00053
195,O=C(Nc1ccc(F)cc1-c1cccc(Cl)c1)O[C@H]1CN2CCC1CC2,0.00053
196,O=C(Nc1ccc(F)cc1-c1ccccc1)O[C@H]1CN2CCC1CC2,0.00053
197,COc1ccc([S+]([O-])c2ccc(C(C)C3CCN(C4CCCCC4)CC3)cc2)cc1,0.00053
198,O=C(Nc1ccc(F)cc1-c1cccc(Cl)c1)O[C@H]1CN2CCC1CC2,0.00053
199,O=C(Nc1ccc(F)cc1-c1ccccc1)O[C@H]1CN2CCC1CC2,0.00053
200,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.000544
201,O=C(Nc1ccccc1-c1ccccc1)O[C@H]1CN2CCC1CC2,0.0005600000000000001
202,O=C(Nc1ccccc1-c1ccccc1)O[C@H]1CN2CCC1CC2,0.0005600000000000001
203,NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1,0.0005623000000000001
204,NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1,0.000562341
205,CN1CCC=C(c2nsnc2SCCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,0.00057
206,CN1CCC=C(c2nsnc2SCCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,0.00057
207,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,0.0005754
208,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,0.00058
209,NCCNC(=O)CCc1cn(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)cn1,0.0005888
210,NCCNC(=O)CCc1cn(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)cn1,0.000588844
211,COc1cc(Br)cc(C2Nc3c(c(C)nn3C)C(=O)CS2)c1,0.000594
212,COc1cc(Br)cc(C2Nc3c(c(C)nn3C)C(=O)CS2)c1,0.000594
213,Cn1cc(-c2ccc(Cn3cc4c(=O)[nH]nc-4c4ccccc43)c(F)c2)cn1,0.0006
214,CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,0.0006
215,CC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,0.0006
216,Cn1cc(-c2ccc(Cn3cc4c(=O)[nH]nc-4c4ccccc43)c(F)c2)cn1,0.0006
217,CN1CCC=C(c2nsnc2OCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,0.00061
218,CN1CCC=C(c2nsnc2OCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,0.00061
219,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1(O)c2ccccc2-c2ccccc21,0.00063
220,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1(O)c2ccccc2-c2ccccc21,0.00063
221,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCCOc3ccccc3)(CC1)CC2,0.00064
222,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCCOc3ccccc3)(CC1)CC2,0.00064
