SMILES,Type,Relation,Value
CCOC(=O)C1=C(c2ccccc2)CCN(CC)C1.O=C(O)C(=O)O,IC50,'=',888.1
CCN1CC=C(c2ccccc2)C(C(=O)OCCC2CCCCC2)C1.O=C(O)C(=O)O,IC50,'=',105.2
,,,
CCCCOc1nsnc1C1=CCCN(C)C1,IC50,'=',3
CCCCCCCOc1nccnc1C1=CCCN(C)C1,IC50,'=',5100
COc1ccc2c(c1)CCN1Cc3c(ccc4[nH]c(C)cc34)OC21,IC50,'=',10766.6
Brc1cc(CO/N=C/C2CN3CCC2CC3)on1.Cl,IC50,'=',8400
CC(C)C(Br)C(=O)NC(N)=O,IC50,,
CCN1CCC(c2ccccc2)=C(C(=O)OCc2ccccc2)C1.Cl,IC50,'=',65.4
CCCCCc1noc(C2CN(CC)CC=C2c2ccccc2)n1.O=C(O)C(=O)O,IC50,'=',888.6
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],IC50,'=',0.1259
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],IC50,'=',0.1
C#C/C(C)=C\CO/N=C1\CN2CCC1C2,IC50,'=',1580
CCCCCCOc1nsnc1C1=CCCN(C)C1,IC50,'=',18.2
NC(=O)CN1CCCC1=O,IC50,,
COc1ccccc1C#CCO/N=C1\CN2CCC1C2,IC50,'=',16600
CCN1CC[C@@H](c2ccccc2)[C@H](C(=O)OCCc2ccccc2)C1.O=C(O)C(=O)O,IC50,'=',62.4
,,,
C=CCO/N=C1\CN2CCC1C2,IC50,'=',4050
C(#Cc1ccsc1)CO/N=C1\CN2CCC1C2,IC50,'=',4840
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,IC50,'=',1.521
COC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,IC50,'=',3788
CCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1.O=C(O)C(O)C(O)C(=O)O,IC50,'=',40
CCN1CCC(c2ccccc2)=C(C(=O)OC2CCCCC2)C1.O=C(O)C(=O)O,IC50,'=',18.1
