SMILES,Type,Relation,Value
CCOC(=O)N1CC[C@H]2[C@@H](CCCN2CCNC(=O)c2ccccc2)C1,EC50,'=',3200
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNS(=O)(=O)c1cccc(OC)c1)C2,EC50,,
COc1cccc(CC[N+](C)(C)C)c1.O=C[O-],EC50,'=',9100
CC1COCC(C[N+](C)(C)C)O1.[I-],EC50,'=',2.57E+13
Fc1cccc(C#CCSc2nsnc2C23CN4CC2C3C4)c1,EC50,'=',2.5
,,,
O=C(NCCN[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Oc1ccccc1)c1ccccc1,EC50,,
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)c1ccccc1,EC50,'=',18
,,,
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](NCCNC(=O)c1ccc(F)cc1)C2,EC50,'=',830
C[N+](C)(C)CCOC(N)=O.[Cl-],EC50,'=',13000
O=C(NCC1CCNCC1)c1ccc(F)cc1-c1cccc(Cl)c1,EC50,'>',10000
O=C1C(=O)N(Cc2ccc(Br)cc2)c2ccccc21,EC50,'=',6000
O=C(NCC1CCCN1)c1ccccc1-c1nc(Cl)cs1,EC50,'>',10000
O=C(NC1CCNCC1)c1ccccc1-c1nc(Cl)cs1,EC50,'>',10000
O=C(NC1CCCCNC1)c1ccccc1-c1nc(Cl)cs1,EC50,'>',10000
O=C(O)c1cccc(-c2ccccc2C(=O)NCC2CCNCC2)c1,EC50,'>',10000
